,id,timestamp,derived_0,derived_1,derived_2,derived_3,derived_4,fundamental_0,fundamental_1,fundamental_2,fundamental_3,fundamental_5,fundamental_6,fundamental_7,fundamental_8,fundamental_9,fundamental_10,fundamental_11,fundamental_12,fundamental_13,fundamental_14,fundamental_15,fundamental_16,fundamental_17,fundamental_18,fundamental_19,fundamental_20,fundamental_21,fundamental_22,fundamental_23,fundamental_24,fundamental_25,fundamental_26,fundamental_27,fundamental_28,fundamental_29,fundamental_30,fundamental_31,fundamental_32,fundamental_33,fundamental_34,fundamental_35,fundamental_36,fundamental_37,fundamental_38,fundamental_39,fundamental_40,fundamental_41,fundamental_42,fundamental_43,fundamental_44,fundamental_45,fundamental_46,fundamental_47,fundamental_48,fundamental_49,fundamental_50,fundamental_51,fundamental_52,fundamental_53,fundamental_54,fundamental_55,fundamental_56,fundamental_57,fundamental_58,fundamental_59,fundamental_60,fundamental_61,fundamental_62,fundamental_63,technical_0,technical_1,technical_2,technical_3,technical_5,technical_6,technical_7,technical_9,technical_10,technical_11,technical_12,technical_13,technical_14,technical_16,technical_17,technical_18,technical_19,technical_20,technical_21,technical_22,technical_24,technical_25,technical_27,technical_28,technical_29,technical_30,technical_31,technical_32,technical_33,technical_34,technical_35,technical_36,technical_37,technical_38,technical_39,technical_40,technical_41,technical_42,technical_43,technical_44,y
118,318,0,-1.1199231147766113,,,,0.11863253265619278,-0.12219321727752686,,-0.07097739726305008,-0.047470107674598694,0.027009285986423492,,-0.2693588137626648,-0.10087662935256958,,-0.06530383974313736,-0.0706632137298584,-0.024831773713231087,0.23559348285198212,-0.04046095162630081,-0.020373966544866562,0.1719001829624176,0.08769435435533524,-0.1255129873752594,0.11237805336713791,-0.019803021103143692,0.3124672770500183,0.09227995574474335,0.11582984775304794,,0.5979920625686646,,,0.42474013566970825,-0.018810652196407318,-0.01753545179963112,0.19824621081352234,0.0008417376084253192,0.07545488327741623,-0.0017642653547227383,0.020293541252613068,-0.1219998449087143,0.09487627446651459,,-0.03382551297545433,0.27321961522102356,0.03813399747014046,0.04989664629101753,-0.09880664199590683,-0.03437821939587593,0.00221577868796885,-0.011211715638637543,-0.08016092330217361,-0.11591465771198273,-0.02768675796687603,-0.14672455191612244,-0.0038283774629235268,0.25670579075813293,-0.17528413236141205,,-0.13650701940059662,-0.10758281499147415,,0.10385119169950485,-0.10350333899259567,-0.15552496910095215,,0.2142980992794037,,,,-2.0,,,-2.0,0.08032534271478653,,,0.0,,0.0,0.0,,0.0,,0.09055923670530319,0.0,-0.5200449824333191,0.0,,,0.2208372801542282,,0.0,0.0014330924022942781,,,,-0.5,0.43174755573272705,0.4547886252403259,,,,-0.10286895185709,,,0.0,,0.02759985253214836
868,318,1,-1.1140944957733154,1.7283819913864136,0.01457214541733265,,0.11670150607824326,-0.12830093502998352,,-0.06208818033337593,-0.045129451900720596,0.026141926646232605,,-0.26538416743278503,-0.10145674645900726,,-0.06580377370119095,-0.06073205918073654,-0.024457601830363274,0.2257687747478485,-0.04089280217885971,-0.01692199520766735,0.17219404876232147,0.11421703547239304,-0.11204005032777786,0.09336110204458237,-0.01794661581516266,0.3107059597969055,0.09854798763990402,0.05919065326452255,,0.5913639664649963,,,0.4170741140842438,0.007520257029682398,-0.013753199018537998,0.19183526933193207,0.001977297244593501,0.07545488327741623,-0.0009881190489977598,0.02045251615345478,-0.1152966096997261,0.0929180383682251,,-0.03477476164698601,0.2653089761734009,0.040186770260334015,0.05048083886504173,-0.0982840359210968,-0.047671183943748474,0.000258906336966902,-0.016612062230706215,-0.0737546905875206,-0.108979232609272,-0.028518233448266983,-0.1218942403793335,-0.003463621251285076,0.24440602958202362,-0.1669369786977768,-0.09239429980516434,-0.12873315811157227,-0.10129989683628082,,0.09735237061977386,-0.10184209048748016,-0.1535613238811493,,0.3111700117588043,,,,-2.0,,,-2.0,0.08242851495742798,,,0.0,,0.0,0.0,,0.0,,0.01459211390465498,0.0,-0.595503568649292,0.0,,,0.11276107281446457,,0.0,0.00037262888508848846,,,,-0.5,0.34169960021972656,0.3684249818325043,,,,-0.10756245255470276,,,0.0,,-0.010358648374676704
1618,318,2,-1.1117722988128662,1.7283819913864136,0.01457214541733265,,0.1159321591258049,-0.13073432445526123,,-0.058546606451272964,-0.044196903705596924,0.02579635940492153,,-0.26380059123039246,-0.10168787091970444,,-0.06600295752286911,-0.05677536502480507,-0.024308526888489723,0.22185447812080383,-0.04106485843658447,-0.015546686947345734,0.17231112718582153,0.12478400021791458,-0.1066722571849823,0.08578450977802277,-0.01720700040459633,0.31000423431396484,0.10104524344205856,0.03662489727139473,,0.5887231826782227,,,0.4140198826789856,0.01801081746816635,-0.012246302329003811,0.18928106129169464,0.0024297181516885757,0.07545488327741623,-0.0006788928294554353,0.02051585353910923,-0.11262595653533936,0.09213785082101822,,-0.03515295311808586,0.26215729117393494,0.041004620492458344,0.050713591277599335,-0.09807582944631577,-0.052967265248298645,-0.0005207358626648784,-0.018763627856969833,-0.0712023675441742,-0.10621607303619385,-0.02884950488805771,-0.11200153827667236,-0.0033182979095727205,0.23950564861297607,-0.16361136734485626,-0.09239429980516434,-0.12563595175743103,-0.09879670292139053,,0.09476315975189209,-0.10118023306131363,-0.1527789831161499,,0.34976500272750854,,,,-2.0,,,-2.0,0.08326644450426102,,,0.0,,0.0,0.0,,0.0,,-0.015674129128456116,0.0,-0.6255671977996826,0.0,,,0.06970217078924179,,0.0,0.0005003317492082715,,,0.12751905620098114,-0.5,0.30582335591316223,0.3340166211128235,,,,-0.1094323992729187,,,0.0,,-0.010214263573288918
2368,318,3,-1.1097687482833862,1.7283819913864136,0.01457214541733265,,0.11526838690042496,-0.13283377885818481,,-0.05549103394150734,-0.043392326682806015,0.02549821510910988,,-0.26243436336517334,-0.1018872782588005,,-0.06617480516433716,-0.05336163938045502,-0.024179909378290176,0.21847735345363617,-0.04121330380439758,-0.014360110275447369,0.17241214215755463,0.13390088081359863,-0.1020410805940628,0.07924763858318329,-0.016568882390856743,0.3093988299369812,0.10319980978965759,0.017155790701508522,,0.5864448547363281,,,0.4113847613334656,0.02706177905201912,-0.010946194641292095,0.1870773732662201,0.0028200543019920588,0.07545488327741623,-0.00041210101335309446,0.020570499822497368,-0.11032178997993469,0.09146472811698914,,-0.03547924757003784,0.25943806767463684,0.04171023890376091,0.050914403051137924,-0.09789618849754333,-0.05753657594323158,-0.0011933892965316772,-0.020619938150048256,-0.06900029629468918,-0.10383209586143494,-0.029135314747691154,-0.10346638411283493,-0.003192916978150606,0.23527774214744568,-0.1607421189546585,-0.09239429980516434,-0.12296377867460251,-0.09663701802492142,,0.09252925962209702,-0.1006091982126236,-0.15210400521755219,,0.3830636441707611,,,,-2.0,,,-2.0,0.08398938924074173,,,0.0,,0.0,0.0,,0.0,,-0.04178699478507042,0.0,-0.6515052914619446,0.0,,,0.03255215287208557,,0.0,0.0012793317437171936,,,0.11926085501909256,-0.5,0.274870365858078,0.30433008074760437,,,,-0.1110457330942154,,,0.0,,-0.005603354889899492
3118,318,4,-1.1065415143966675,1.7283819913864136,0.01457214541733265,,0.11419923603534698,-0.1362154483795166,,-0.050569333136081696,-0.04209637641906738,0.025017984211444855,,-0.26023370027542114,-0.10220847278833389,,-0.06645160168409348,-0.04786305129528046,-0.02397274039685726,0.21303769946098328,-0.04145240783691406,-0.012448854744434357,0.17257484793663025,0.148585706949234,-0.0945814996957779,0.06871850788593292,-0.015541044063866138,0.30842363834381104,0.10667023062705994,-0.01420367881655693,,0.5827750563621521,,,0.40714031457901,0.04164043441414833,-0.00885207112878561,0.18352782726287842,0.0034487806260585785,0.07545488327741623,1.7628513887757435e-05,0.020658520981669426,-0.10661040246486664,0.09038050472736359,,-0.036004818975925446,0.2550581991672516,0.04284679889678955,0.05123785510659218,-0.0976068377494812,-0.06489650160074234,-0.0022768524941056967,-0.023609953001141548,-0.06545335054397583,-0.09999215602874756,-0.02959567867219448,-0.08971856534481049,-0.00299096223898232,0.22846771776676178,-0.15612055361270905,-0.09239429980516434,-0.1186596229672432,-0.09315834939479828,,0.08893105387687683,-0.09968941658735275,-0.15101678669452667,,0.4366988241672516,,,,-2.0,,,-2.0,0.08515385538339615,,,0.0,,0.0,0.0,,0.0,,-0.083847776055336,0.0,-0.6932845115661621,0.0,,,-0.02728649042546749,,0.0,0.0026120750699192286,,,0.14590808749198914,-0.5,0.22501341998577118,0.2565130591392517,,,,-0.11364439129829407,,,0.0,,-0.03649876266717911
3868,318,5,-1.1052464246749878,1.7283819913864136,0.01457214541733265,,0.11377014964818954,-0.13757261633872986,,-0.04859409108757973,-0.041576266288757324,0.02482525072991848,,-0.2593505084514618,-0.10233737528324127,,-0.06656268984079361,-0.04565627872943878,-0.02388959564268589,0.21085457503795624,-0.04154836758971214,-0.011681802570819855,0.1726401448249817,0.1544792354106903,-0.09158772230148315,0.06449281424283981,-0.015128538012504578,0.3080322742462158,0.10806303471326828,-0.026789292693138123,,0.5813022255897522,,,0.4054368734359741,0.04749134182929993,-0.00801162887364626,0.1821032613515854,0.0037011096719652414,0.07545488327741623,0.00019009348761755973,0.02069384604692459,-0.10512089729309082,0.08994537591934204,,-0.03621574863791466,0.25330039858818054,0.04330293834209442,0.05136766657233238,-0.09749071300029755,-0.06785028427839279,-0.002711682813242078,-0.0248099472373724,-0.06402983516454697,-0.09845105558633804,-0.029780438169836998,-0.08420109748840332,-0.0029099108651280403,0.2257346212863922,-0.15426574647426605,-0.09239429980516434,-0.116932213306427,-0.0917622372508049,,0.08748697489500046,-0.09932027012109756,-0.15058046579360962,,0.45822441577911377,,,,-2.0,,,-2.0,0.0856211930513382,,,0.0,,0.0,0.0,,0.0,,-0.10072818398475647,0.0,-0.7100518941879272,0.0,,,-0.05130176246166229,,0.0,0.005232417024672031,,,0.1618996560573578,-0.5,0.20500415563583374,0.23732246458530426,,,,-0.11468731611967087,,,0.0,,0.039297349750995636
4618,318,6,-1.1041245460510254,1.7283819913864136,0.01457214541733265,,0.11339849978685379,-0.13874812424182892,,-0.04688325896859169,-0.04112577810883522,0.024658318608999252,,-0.25858554244041443,-0.10244902968406677,,-0.06665890663862228,-0.04374491795897484,-0.023817582055926323,0.20896370708942413,-0.04163148254156113,-0.011017432436347008,0.17269670963287354,0.15958382189273834,-0.08899470418691635,0.060832783579826355,-0.014771251939237118,0.3076932728290558,0.10926938056945801,-0.037690140306949615,,0.5800265669822693,,,0.4039614796638489,0.0525590218603611,-0.00728369178250432,0.18086941540241241,0.003919660579413176,0.07545488327741623,0.0003394715313334018,0.02072444185614586,-0.10383078455924988,0.08956848829984665,,-0.03639844432473183,0.25177788734436035,0.0436980165541172,0.05148009955883026,-0.09739013016223907,-0.0704086646437645,-0.0030883047729730606,-0.025849303230643272,-0.06279688328504562,-0.09711625427007675,-0.029940465465188026,-0.079422228038311,-0.002839709399268031,0.22336739301681519,-0.15265925228595734,-0.09239429980516434,-0.11543604731559753,-0.09055302292108536,,0.08623620122671127,-0.09900055080652237,-0.15020252764225006,,0.47686851024627686,,,,-2.0,,,-2.0,0.08602596819400787,,,0.0,,0.0,0.0,,0.0,,-0.11534891277551651,0.0,-0.7245747447013855,0.0,,,-0.07210224121809006,,0.0,0.0018243881640955806,,,0.1724470555782318,-0.5,0.1876734048128128,0.22070081532001495,,,,-0.11559063196182251,,,0.0,,0.02390982210636139
5368,318,7,-1.1031522750854492,1.7283819913864136,0.01457214541733265,,0.11307638883590698,-0.13976694643497467,,-0.045400459319353104,-0.040735337883234024,0.02451363578438759,,-0.25792253017425537,-0.10254579782485962,,-0.06674230098724365,-0.04208831116557121,-0.023755166679620743,0.20732484757900238,-0.041703518480062485,-0.0104416124522686,0.1727457195520401,0.1640080362558365,-0.08674729615449905,0.05766058713197708,-0.014461586251854897,0.3073994815349579,0.11031494289636612,-0.047138068825006485,,0.5789209604263306,,,0.40268272161483765,0.05695125460624695,-0.006652778014540672,0.17980000376701355,0.004109082277864218,0.07545488327741623,0.0004689397173933685,0.02075096033513546,-0.10271262377500534,0.08924183994531631,,-0.03655678778886795,0.25045832991600037,0.044040437787771225,0.051577549427747726,-0.09730295091867447,-0.07262605428695679,-0.0034147286787629128,-0.02675013057887554,-0.06172826886177063,-0.0959593653678894,-0.030079161748290062,-0.07528030872344971,-0.0027788649313151836,0.2213156819343567,-0.15126687288284302,-0.09239429980516434,-0.11413930356502533,-0.08950497210025787,,0.08515214174985886,-0.09872343391180038,-0.1498749852180481,,0.49302759766578674,,,,-2.0,,,-2.0,0.08637680113315582,,,0.0,,0.00012648334086406976,0.0,,0.0,,-0.12802091240882874,0.0,-0.7371619343757629,0.0,,,-0.09013032168149948,,0.0,0.0,,,0.16222919523715973,-0.5,0.17265260219573975,0.20629458129405975,,,,-0.11637355387210846,,,0.0,,-0.025861604139208794
6118,318,8,-1.1023091077804565,1.7283819913864136,0.01457214541733265,,0.11279704421758652,-0.14065048098564148,,-0.04411454498767853,-0.040396738797426224,0.024388162419199944,,-0.25734755396842957,-0.10262971371412277,,-0.06681462377309799,-0.040651675313711166,-0.02370104007422924,0.20590361952781677,-0.04176599159836769,-0.0099422512575984,0.17278823256492615,0.16784480214118958,-0.08479829877614975,0.054909598082304,-0.014193039387464523,0.3071447014808655,0.11122167855501175,-0.05533147603273392,,0.5779621005058289,,,0.4015737473964691,0.06076027452945709,-0.006105638574808836,0.17887260019779205,0.004273352213203907,0.07545488327741623,0.0005812167655676603,0.020773958414793015,-0.1017429381608963,0.08895856142044067,,-0.036694105714559555,0.24931398034095764,0.04433739185333252,0.051662057638168335,-0.09722735732793808,-0.07454900443553925,-0.003697809297591448,-0.027531342580914497,-0.06080154329538345,-0.09495609253644943,-0.0301994439214468,-0.07168836146593094,-0.002726099221035838,0.2195364087820053,-0.15005937218666077,-0.09239429980516434,-0.11301473528146744,-0.08859609067440033,,0.08421202749013901,-0.0984831228852272,-0.14959092438220978,,0.5070410370826721,,,,-2.0,,,-2.0,0.08668104559183121,,,0.0,,0.0,0.0,,0.0,,-0.13901028037071228,0.0,-0.7480777502059937,0.0,,,-0.10576459020376205,,0.0,0.001826368155889213,,,0.1649520844221115,-0.5,0.1596262902021408,0.19380125403404236,,,,-0.11705251038074493,,,0.0,,-0.024979040026664734
6868,318,9,-1.1015775203704834,1.7283819913864136,0.01457214541733265,,0.11255466938018799,-0.14141708612442017,,-0.042998820543289185,-0.04010295122861862,0.024279296398162842,,-0.25684866309165955,-0.10270252823829651,,-0.06687737256288528,-0.03940517082810402,-0.02365407533943653,0.2046704739332199,-0.04182019457221031,-0.009508979506790638,0.17282511293888092,0.17117378115653992,-0.08310725539922714,0.0525226965546608,-0.013960033655166626,0.30692362785339355,0.11200840771198273,-0.06244051456451416,,0.5771301984786987,,,0.40061154961586,0.06406518071889877,-0.005630911327898502,0.17806793749332428,0.0044158813543617725,0.07545488327741623,0.0006786343292333186,0.020793912932276726,-0.10090158134698868,0.08871277421712875,,-0.036813247948884964,0.24832108616828918,0.04459504410624504,0.05173538252711296,-0.09716176241636276,-0.07621746510267258,-0.003943425137549639,-0.02820916473865509,-0.05999746918678284,-0.09408559650182724,-0.03030380606651306,-0.0685717985033989,-0.0026803172659128904,0.2179926037788391,-0.14901168644428253,-0.09239429980516434,-0.1120390072464943,-0.08780749142169952,,0.08339633047580719,-0.0982746109366417,-0.14934445917606354,,0.5191999077796936,,,,-2.0,,,-2.0,0.08694501966238022,,,0.0,,0.0,0.0,,0.0,,-0.1485452651977539,0.0,-0.7575488686561584,0.0,,,-0.11932972073554993,,0.0,0.0035520438104867935,,,0.17685696482658386,-0.5,0.14832396805286407,0.1829613596200943,,,,-0.11764161288738251,,,0.0,,0.00210363301448524
